year,age,percent_rough
1952,15,1.5815
1952,16,0.4313
1952,17,0.1866
1952,18,0.4817
1952,19,0.3422
1953,6,1.2664
1953,7,6.3623
1953,8,15.4927
1953,9,23.4557
1953,10,33.8982
1953,11,13.7331
1953,12,2.8099
1953,13,0.6152
1953,14,0.1277
1953,15,0
1953,16,1.4491
1953,17,0.2961
1953,18,0.3131
1953,19,0.3273
