year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13
1974,926120,768238,529207,1238127,542896,130918,39010,12572,6896,10548,3736,581,525
1975,524478,758243,628980,350164,617938,260105,64654,20510,6339,3363,3563,1134,550
1976,961996,429406,620797,473992,232583,300847,105672,26221,8330,2822,1346,1173,572
1977,299410,787616,351568,431049,284612,118042,139328,43200,8835,3154,1464,597,583
1978,207985,245137,644845,252013,200350,109660,48756,58134,14252,2113,1206,646,1198
1979,227604,170283,200701,456634,165251,83959,38366,16929,18804,3156,620,161,218
1980,228960,186346,139416,156538,303750,95776,39836,16197,6374,5465,969,121,87
1981,251893,187456,152567,110606,112703,174505,42166,16632,6527,2044,1583,180,66
1982,600559,206233,153476,121829,81991,73450,85476,14808,4630,1483,487,498,70
1983,789822,491696,168849,117559,80804,49624,34724,31530,4528,1186,573,154,170
1984,2117166,670435,402820,135430,78520,47632,24653,13044,9230,1404,387,262,116
1985,1376706,1355363,528736,323313,97995,47269,20823,6481,3181,2139,441,107,208
1986,1758025,786907,1047413,410434,223292,55072,21131,6761,1915,1196,1056,237,130
1987,492749,563417,288869,741776,271798,111631,22274,6704,1859,685,322,361,156
1988,821942,238183,206603,211087,483256,133665,35832,5834,1991,699,149,94,82
1989,818712,300649,174635,158833,152216,273190,60232,10322,1787,511,103,26,56
1990,1519368,539991,245936,138378,114376,95520,149693,24110,3473,714,156,47,40
1991,1729508,1129675,416534,199626,106462,81881,62075,95407,13578,2095,423,75,25
1992,3012409,1278764,729720,334892,153547,72264,48632,33197,55317,7599,1328,303,48
1993,24168277,1535504,905347,573742,241598,100836,37998,23212,14927,28712,3933,848,191
1994,9292544,1469952,793339,684844,426698,139879,52135,17659,10455,6276,12113,1637,232
1995,19955663,1380842,623514,525127,459704,248883,60051,13273,5393,2983,1816,3106,418
1996,27933132,2553716,445560,315301,330608,268476,114432,20178,4231,1688,881,425,1624
1997,19230796,3102514,724631,227079,180642,178856,127714,44294,6979,1634,540,304,532
1998,6682088,1271915,854365,422472,137736,83660,71093,45054,10574,1506,296,105,174
1999,3044132,1079625,554502,479267,242884,66993,31389,26977,13041,2701,360,64,113
2000,3295737,828579,614868,399682,318078,114869,26674,11423,7745,2689,549,118,42
2001,4077812,680565,522623,465319,284215,172534,51289,10373,3311,2009,712,159,65
2002,1107657,1296233,455050,401793,338316,174783,83878,21367,3728,1106,593,272,81
2003,6416438,494228,706231,333261,295578,207212,81865,30560,7064,1423,427,284,188
2004,3612812,1295488,308759,550795,253953,183685,105309,33812,12351,3171,720,221,108
2005,5700734,863301,584000,233266,406442,160559,88309,40220,11289,4467,1016,322,166
2006,4844058,1895198,583188,397423,168820,225139,75169,31785,14332,3556,1532,324,341
2007,2938213,2012042,1414865,464312,280944,107730,113615,32796,11848,5178,1294,588,187
2008,2044778,1273982,1466774,1063045,337121,172998,64402,61901,16681,6008,2990,602,211
2009,11747968,842563,953725,1096576,792057,235187,109904,40026,31972,8678,3296,1801,210
2010,13179858,1314223,523220,705195,840052,566706,150111,71171,25155,18105,5334,1909,563
2011,10220561,1583048,811180,369676,531149,617987,392548,89605,42832,16266,10910,1622,1193
2012,24587805,2740565,808708,477279,247386,391151,435055,254546,54256,24474,8741,6003,2183
2013,9953645,3779719,1026737,532373,332529,178943,283718,292842,164688,33268,15320,5414,5306
2014,10856210,1744473,1184193,631482,402606,241888,126029,183218,172393,92195,18965,9862,5714
2015,16764094,1172558,551116,735646,438672,288952,164821,76128,99237,98127,54909,12164,4124
