year,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13
1946,666180,523805,734497,582966,405783,198974,94185,97114,246943,102870,38521,39479,33328
1947,705151,545422,428855,597729,467894,315120,147889,64587,65603,148030,63758,22406,42765
1948,1060541,577329,446554,350475,477442,343366,210932,79910,41048,35870,78056,23796,37374
1949,1630547,868297,472677,365481,283441,362798,230469,102685,45987,19821,20487,36724,21336
1950,1796394,1334979,710902,386098,293070,200199,206100,113334,57173,25701,11155,8976,21134
1951,2395644,1470763,1092988,580878,306199,213665,122980,112117,65612,29182,12743,3687,13989
1952,966372,1961388,1204159,872525,405074,192773,132527,66725,61325,32445,14311,6614,3938
1953,410861,791199,1605848,964076,605146,229216,91028,63815,36024,28160,12402,4182,1880
1954,662245,336385,647779,1271856,691905,394073,137448,53950,36989,19940,13507,5054,2707
1955,1212185,542200,275409,519975,900903,434020,231477,75765,34477,19615,8583,4950,2738
1956,748256,992453,443916,221955,391651,554970,209363,113483,34478,15819,7481,3281,3722
1957,1031597,612620,812552,353844,159849,203206,227735,92886,46683,14667,6197,2549,1687
1958,1192045,844601,501571,649589,259001,106278,102397,107703,40568,22162,6381,2149,857
1959,1382467,975964,691500,382403,410974,147762,50153,49108,55799,21145,8667,2249,1142
1960,1096207,1131868,799052,536919,242561,202303,72587,24324,24159,24766,8732,3705,1351
1961,710985,897499,926695,619931,351040,140481,104623,38512,12288,13229,9713,3073,2332
1962,510413,582105,734810,717564,387525,175698,68719,50605,15808,4821,4698,2921,1351
1963,1171664,417891,476587,563232,433157,165953,62903,30658,21529,5744,1478,1491,1113
1964,2384761,959277,342140,378256,364332,168651,49461,19362,10423,6864,1188,287,1278
1965,1951528,1952478,785390,275327,268147,209661,85079,22722,7562,2927,2405,264,670
1966,248186,1597776,1598553,628794,201894,148692,109665,46634,10968,2962,1069,919,351
1967,168532,203198,1308148,1258171,464464,133920,83248,56154,21441,4386,1073,532,461
1968,296784,137982,166364,1039834,885286,317625,89683,44365,23228,7309,1484,256,498
1969,610179,242986,112970,132851,693373,482350,163185,49266,21485,8524,2675,620,278
1970,1531620,499572,198940,90405,86560,351872,230923,61794,15915,5408,2372,459,312
1971,2741171,1253984,409015,156396,64252,47513,163376,101819,21710,4947,1488,827,421
1972,789484,2244281,1026675,327857,115615,41900,30280,80113,36308,6833,1848,529,697
1973,938328,646375,1837462,808416,227319,70379,23366,17627,34026,9535,1457,414,408
