Year,Vessel,Main_series,Calendarday,Date,Fish_No,Station_No,Gear,Pos_Lat_Dec,Pos_Long_Des,Fish_Length,Fish_Weight,Fish_Ovary,Fish_Liver,Fish_Viscera,Sex,Code,Fish_Maturity,Fish_Comment,Oto_Age,Oto_Spawnings,Oto_Spawn_Age,Oto_Type,Oto_Edge,Oto_Readab,Oocyte_Stage,Ooc_Mean_Dia,Ooc_SD,Ooc_Mean_95,Ooc_CI_Perc,Ooc_Max,Ooc_Min,Ooc_N,Ooc_Lc_Mean,Ooc_Lc_SD,Ooc_NG,Atres_Samp,Atres_N,Atres_Int,Atres_Slide,Atres_Tot_C,Capelin_Aug,Cod_SSB,Kola_Sep_Nov,Kola_Nov_Feb,Kola_Sep_Feb,Kola_Year,Fec_Mill,Fulton_K,Ln_Fec,Ln_K,Ln_Weight,Ln_Length,Ln_Ooc_Diam
2006,Andenes,Y,43,2/13/06,1,,,,,79,5000,690,137,174,M,2,,,9,2,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.014,,0.014,8.51719319,4.36944785,
2006,Andenes,Y,43,2/13/06,2,,,,,91,7780,576,292.5,409.5,M,2,,,9,1,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.032,,0.0319,8.95931162,4.51085951,
2006,Andenes,Y,43,2/13/06,3,,,,,107,12420,903,432,1680,F,1,,torsk i magen,9,0,9,5,4,1,v,607.256404,48.6940696,6.88638136,1.13401544,784.297913,391.982922,200,680.479127,27.6657012,,,,,,,,,,,,,5.89920999,1.014,1.77481844,0.0137,9.42706336,4.67282883,6.40895111
2006,Andenes,Y,43,2/13/06,4,,,,,114,13680,1012,1343,560,F,1,,,11,3,8,5,4,1,v,525.216793,90.6840162,12.8246566,2.44178342,654.933586,156.688805,200,635.578748,11.3891829,,,,,,,,,,,,,9.78311295,0.923,2.28065773,-0.0797,9.52369019,4.73619845,6.26381112
2006,Andenes,Y,43,2/13/06,5,,,,,102,10120,970,1045.5,414,F,1,,,9,1,8,5,4,5,v,640.753083,90.1667459,12.7515035,1.99008071,779.981025,398.529412,200,745.026091,11.7803634,,,,,,,,,,,,,5.4817297,0.954,1.70142069,-0.0475,9.22226894,4.62497281,6.46264418
2006,Andenes,Y,43,2/13/06,6,,,,,118,18140,1703,1732.5,699.5,F,1,,,11,2,9,5,4,1,v,592.011622,128.997887,18.2430561,3.08153682,774.762808,150.901328,200,743.991935,14.958742,,,,,,,,,,,,,11.9160908,1.104,2.47788966,0.099,9.80587472,4.77068462,6.38352627
2006,Andenes,Y,43,2/13/06,7,,,,,93,10640,1141,491,1638,M,2,,stor fisk i magen,8,1,7,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,1.323,,0.2797,9.27237576,4.53259949,
2006,Andenes,Y,43,2/13/06,8,,,,,66,2980,207.5,93.5,139,M,2,,,7,2,5,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.037,,0.0359,7.99967858,4.18965474,
2006,Andenes,Y,43,2/13/06,9,,,,,125,20880,3289,1522,696,M,2,,,12,2,10,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,1.069,,0.0668,9.94654704,4.82831374,
2006,Andenes,Y,43,2/13/06,10,,,,,81,5060,557,401,243.5,F,1,,,9,2,7,5,4,1,v,599.732211,75.9287492,10.7379467,1.79045689,754.981025,404.506641,200,685.951139,19.2786926,,,,,,,,,,,,,3.76340595,0.952,1.32532439,-0.0491,8.52912176,4.39444915,6.39648324
