Year,Vessel,Main_series,Calendarday,Date,Fish_No,Station_No,Gear,Pos_Lat_Dec,Pos_Long_Des,Fish_Length,Fish_Weight,Fish_Ovary,Fish_Liver,Fish_Viscera,Sex,Code,Fish_Maturity,Fish_Comment,Oto_Age,Oto_Spawnings,Oto_Spawn_Age,Oto_Type,Oto_Edge,Oto_Readab,Oocyte_Stage,Ooc_Mean_Dia,Ooc_SD,Ooc_Mean_95,Ooc_CI_Perc,Ooc_Max,Ooc_Min,Ooc_N,Ooc_Lc_Mean,Ooc_Lc_SD,Ooc_NG,Atres_Samp,Atres_N,Atres_Int,Atres_Slide,Atres_Tot_C,Capelin_Aug,Cod_SSB,Kola_Sep_Nov,Kola_Nov_Feb,Kola_Sep_Feb,Kola_Year,Fec_Mill,Fulton_K,Ln_Fec,Ln_K,Ln_Weight,Ln_Length,Ln_Ooc_Diam
2006,Andenes,Y,43,2/13/06,11,,,,,105,13060,781,383.5,1682,F,1,,fisk og sten i magen,9,2,11,4,4,1,v,533.045541,69.1522821,9.77960952,1.83466679,665.844402,187.855787,200,625.040323,17.3128067,,,,,,,,,,,,,7.25434438,1.128,1.98160051,0.1206,9.4773094,4.65396035,6.27860686
2006,Andenes,Y,43,2/13/06,12,,,,,66,2400,225.5,105,103.5,M,2,,,6,0,6,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.835,,-0.1806,7.78322402,4.18965474,
2006,Andenes,Y,43,2/13/06,13,,,,,78,3880,20.5,70,229.5,F,1,,umoden,6,1,5,1,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,0.818,,-0.2014,8.26359043,4.35670883,
2006,Andenes,Y,43,2/13/06,14,,,,,81,4840,416.5,105,182,M,2,,,8,1,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.911,,-0.0935,8.48467,4.39444915,
2006,Andenes,Y,43,2/13/06,15,,,,,82,5520,606,227.5,240,F,1,,,8,1,7,5,4,1,v,668.865275,89.7759385,12.696235,1.89817523,796.726755,156.736243,200,766.477704,14.4488486,,,,,,,,,,,,,3.04978381,1.001,1.11507071,0.0011,8.61613314,4.40671925,6.50558266
2006,Andenes,Y,43,2/13/06,16,,,,,56,1900,197,72.5,74,M,2,,,7,1,6,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.082,,0.0787,7.54960917,4.02535169,
2006,Andenes,Y,43,2/13/06,17,,,,,66,2920,314,68,101.5,M,2,,,9,2,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.016,,0.0155,7.9793389,4.18965474,
2006,Andenes,Y,43,2/13/06,18,,,,,52,1460,102,32,60.5,M,2,,,5,1,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.038,,0.0376,7.28619171,3.95124372,
2006,Andenes,Y,43,2/13/06,19,,,,,64,2400,147,94.5,83.5,F,1,,,6,1,5,1,4,1,v,517.974146,100.191207,14.1691764,2.73549877,719.3074,152.751423,200,641.335389,31.0258257,,,,,,,,,,,,,1.47535419,0.916,0.388898091,-0.0883,7.78322402,4.15888308,6.24992533
2006,Andenes,Y,43,2/13/06,20,,,,,78,6040,708,322.5,224,M,2,,,7,2,5,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.273,,0.2412,8.70615929,4.35670883,
2006,Andenes,Y,43,2/13/06,21,,,,,81,5080,261.5,392,181.5,F,1,,,10,2,8,3,4,1,v,477.525142,80.695487,11.4120652,2.38983547,612.096774,186.622391,200,589.153226,11.0834017,,,,,,,,,,,,,3.26883217,0.956,1.18443279,-0.0451,8.53306654,4.39444915,6.16861681
2006,Andenes,Y,43,2/13/06,22,,,,,68,2920,314,0,114.5,M,2,,,7,2,5,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.929,,-0.074,7.9793389,4.21950771,
2006,Andenes,Y,43,2/13/06,23,,,,,71,3460,18.5,134.5,247.5,F,1,,umoden - usikker,5,0,5,1,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,0.967,,-0.0338,8.14902387,4.26267988,
2006,Andenes,Y,43,2/13/06,24,,,,,80,5120,510.5,113.5,164.5,M,2,,,8,1,7,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,1,,0,8.54090972,4.38202663,
2006,Andenes,Y,43,2/13/06,25,,,,,66,2760,2.5,78.5,150,M,2,,umoden,5,1,4,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.96,,-0.0408,7.92298596,4.18965474,
2006,Andenes,Y,43,2/13/06,26,,,,,90,6660,548,582.5,230.5,F,1,,,9,1,8,5,4,1,v,689.235769,109.247307,15.4499024,2.24159904,857.210626,166.176471,200,789.233871,21.7878587,,,,,,,,,,,,,2.54330393,0.914,0.933463995,-0.0904,8.80387476,4.49980967,6.5355834
2006,Andenes,Y,43,2/13/06,27,,,,,85,5700,28.5,452.5,122,F,1,,umoden - fisk i magen,7,0,7,2,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,0.928,,-0.0746,8.64822145,4.44265126,
2006,Andenes,Y,43,2/13/06,28,,,,,95,7920,1394.5,271.5,238,M,2,,,9,0,9,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.924,,-0.0793,8.97714648,4.55387689,
2006,Andenes,Y,43,2/13/06,29,,,,,102,10120,978.5,472.5,392.5,M,2,,,9,0,9,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.954,,-0.0475,9.22226894,4.62497281,
2006,Andenes,Y,43,2/13/06,30,,,,,97,9900,729.5,751.5,320.5,F,1,,,13,6,7,5,4,1,v,553.163425,82.649385,11.6883881,2.11300813,747.675522,235.531309,200,668.965844,21.3964645,,,,,,,,,,,,,6.13100608,1.085,1.81335886,0.0813,9.20029004,4.57471098,6.31565348
2006,Andenes,Y,43,2/13/06,31,,,,,98,10880,604,838.5,559,F,1,,lidt mat i magen,7,0,7,1,4,1,v,391.268738,70.1778127,9.92464145,2.53652809,529.26945,178.70019,200,503.493833,12.968292,,,,,,,,,,,,,12.9289965,1.156,2.55947258,0.1449,9.29468152,4.58496748,5.96939463
2006,Andenes,Y,43,2/13/06,32,,,,,96,9500,1417,682,332,M,2,,,7,0,7,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.074,,0.0712,9.15904708,4.56434819,
2006,Andenes,Y,43,2/13/06,33,,,,,108,11740,1010,584.5,555,F,1,,,10,1,9,5,4,1,v,571.24075,64.6158622,9.13806286,1.5996868,703.368121,248.102467,200,659.108159,17.2138296,,,,,,,,,,,,,7.78252224,0.932,2.05188048,-0.0705,9.37075709,4.68213123,6.34781075
2006,Andenes,Y,43,2/13/06,34,,,,,97,8480,508.5,359,424,F,1,,,7,0,7,1,4,1,v,447.586812,89.6786839,12.6824811,2.83352431,622.1537,250,200,591.252372,16.3504824,,,,,,,,,,,,,7.57064848,0.929,2.02427873,-0.0735,9.04546573,4.57471098,6.10387051
2006,Andenes,Y,43,2/13/06,35,,,,,103,10440,778.5,557.5,365.5,F,1,,,10,3,7,5,4,1,v,525.431214,84.0179038,11.8819259,2.26136658,656.783681,151.233397,200,627.789374,9.87670615,,,,,,,,,,,,,7.51755397,0.955,2.01724082,-0.0456,9.25339986,4.63472899,6.26421929
2006,Andenes,Y,44,2/14/06,36,,,,,71,3000,13.5,62,189.5,F,1,,umoden,6,0,6,4,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,0.838,,-0.1765,8.00636757,4.26267988,
2006,Andenes,Y,44,2/14/06,37,,,,,52,1320,4.5,12,43,F,1,,umoden,4,,,2,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,0.939,,-0.0632,7.18538702,3.95124372,
2006,Andenes,Y,44,2/14/06,38,,,,,118,22600,2281.5,2338,994,F,1,,,15,7,8,5,4,1,v,568.123814,113.97069,16.1178895,2.83703818,726.660342,153.889943,200,700.744782,11.1194719,,,,,,,,,,,,,17.8416565,1.376,2.88153598,0.3188,10.0257052,4.77068462,6.34233938
2006,Andenes,Y,44,2/14/06,39,,,,,103,11260,552,594.5,610,F,1,,,8,0,8,2,4,1,v,455.216793,61.6707594,8.72156244,1.91591404,556.54649,151.42315,200,539.471063,9.41469838,,,,,,,,,,,,,7.85164256,1.03,2.06072275,0.03,9.3290119,4.63472899,6.12077377
2006,Andenes,Y,44,2/14/06,40,,,,,106,14460,2401.5,340,514.5,M,2,,,14,6,8,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,1.214,,0.194,9.5791415,4.66343909,
2006,Andenes,Y,44,2/14/06,41,,,,,73,3460,130.5,295.5,117,F,1,,,8,1,7,5,4,1,v,495.942837,89.4300268,12.6473157,2.55015593,656.26186,200.142315,200,627.990987,13.299588,,,,,,,,,,,,,1.47284117,0.889,0.387193307,-0.1172,8.14902387,4.29045944,6.20646067
2006,Andenes,Y,44,2/14/06,42,,,,,68,2880,188.5,127.5,126,F,1,,,4,1,5,2,4,1,v,521.730787,99.2968781,14.0426992,2.69156038,691.650854,183.538899,200,642.258065,18.223337,,,,,,,,,,,,,1.85531085,0.916,0.618052255,-0.0878,7.96554557,4.21950771,6.25715172
2006,Andenes,Y,44,2/14/06,43,,,,,63,2880,228.5,109.5,181,F,1,,,9,3,6,4,4,1,v,605.397296,99.0245793,14.0041903,2.31322313,724.525617,179.032258,200,703.908918,9.20096892,,,,,,,,,,,,,1.50517744,1.152,0.408910794,0.1413,7.96554557,4.14313473,6.40588493
2006,Andenes,Y,44,2/14/06,44,,,,,84,5400,540.5,357.5,217,F,1,,,8,0,8,5,4,1,v,601.581594,72.2340719,10.2154404,1.69809723,778.41556,328.368121,200,689.416509,22.9950175,,,,,,,,,,,,,3.62168959,0.911,1.28694065,-0.0931,8.59415423,4.4308168,6.39956218
2006,Andenes,Y,44,2/14/06,45,,,,,90,6980,296.5,303,369.5,F,1,,,7,0,7,2,4,1,v,362.268738,71.4109952,10.0990398,2.78772048,589.373814,163.377609,200,473.209203,30.1431357,,,,,,,,,,,,,7.81361782,0.957,2.05586809,-0.0435,8.8508042,4.49980967,5.89238631
2006,Andenes,Y,44,2/14/06,46,,,,,92,6820,520,302.5,309.5,F,1,,,9,1,8,5,4,1,v,601.776565,98.9979153,14.0004194,2.32651457,753.747628,178.273245,200,716.202562,14.8256454,,,,,,,,,,,,,3.48127953,0.876,1.24739991,-0.1326,8.82761475,4.52178858,6.39988622
2006,Andenes,Y,44,2/14/06,47,,,,,85,5000,236.5,377.5,177.5,F,1,,,7,0,7,5,4,1,v,620.040323,63.9724033,9.04706404,1.45910898,733.586338,422.43833,200,704.88852,14.1288323,,,,,,,,,,,,,1.46052202,0.814,0.378793918,-0.2056,8.51719319,4.44265126,6.42978451
2006,Andenes,Y,44,2/14/06,48,,,,,93,8640,329,477,429,F,1,,,7,0,7,4,4,1,v,417.605787,67.5005598,9.54602072,2.28589282,686.005693,160.246679,200,518.08112,41.4817244,,,,,,,,,,,,,5.90659387,1.074,1.77606933,0.0715,9.06415786,4.53259949,6.03453789
2006,Andenes,Y,44,2/14/06,49,,,,,63,2600,117,101.5,109.5,F,1,,,6,0,6,5,4,1,v,373.401565,64.0679229,9.06057254,2.4264956,505.929791,156.688805,200,470.279886,13.4967589,,,,,,,,,,,,,2.84132613,1.04,1.04427089,0.039,7.86326672,4.14313473,5.92265442
2006,Andenes,Y,44,2/14/06,50,,,,,65,2620,194.5,133.5,291,F,1,,mat i magen,6,1,5,1,4,1,v,524.167932,92.8364097,13.129051,2.50474136,688.946869,153.937381,200,638.712049,17.2083756,,,,,,,,,,,,,1.89042817,0.954,0.636803351,-0.0471,7.8709296,4.17438727,6.26181211
2006,Andenes,Y,44,2/14/06,51,,,,,64,2540,13,111.5,165,F,1,,modende!,7,0,7,2,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,0.969,,-0.0316,7.83991936,4.15888308,
2006,Andenes,Y,44,2/14/06,52,,,,,85,5740,456.5,332.5,206.5,F,1,,,7,1,6,5,4,1,v,540.112903,82.729951,11.6997819,2.16617337,676.897533,180.97723,200,652.969639,11.2140545,,,,,,,,,,,,,4.09207208,0.935,1.40905146,-0.0676,8.65521449,4.44265126,6.2917782
2006,Andenes,Y,44,2/14/06,53,,,,,68,3020,239.5,121,109.5,F,1,,,8,1,7,4,4,1,v,613.518738,108.163074,15.2965686,2.49325207,790.939279,192.077799,200,730.849146,18.0832781,,,,,,,,,,,,,1.52188262,0.96,0.419948134,-0.0403,8.01301211,4.21950771,6.41921081
2006,Andenes,Y,44,2/14/06,54,,,,,82,5080,471,302.5,162,F,1,,,8,0,8,5,4,1,v,615.503083,92.9228298,13.1412726,2.13504578,754.222011,360.815939,200,729.990512,12.1399068,,,,,,,,,,,,,2.96694888,0.921,1.08753411,-0.0819,8.53306654,4.40671925,6.42243995
2006,Andenes,Y,44,2/14/06,55,,,,,81,4600,321,210.5,136.5,F,1,,,8,0,8,5,4,5,v,604.040085,122.256016,17.2896116,2.86232852,805.075901,171.963947,200,767.988615,12.6545373,,,,,,,,,,,,,2.12734666,0.866,0.754875502,-0.1444,8.43381158,4.39444915,6.40364056
2006,Andenes,Y,44,2/14/06,56,,,,,66,2780,74.5,103.5,100.5,F,1,,,5,0,5,1,4,1,v,328.352704,47.7737882,6.75623391,2.05761482,452.229602,160.815939,200,402.725332,15.1536634,,,,,,,,,,,,,2.56004409,0.967,0.940024482,-0.0336,7.93020621,4.18965474,5.79408835
2006,Andenes,Y,44,2/14/06,57,,,,,51,1240,95.5,8.5,63.5,F,1,,,4,0,4,1,4,1,v,567.612666,98.4803778,13.9272286,2.45365007,711.242884,165.654649,200,690.595351,8.45741992,,,,,,,,,,,,,0.748640893,0.935,-0.28949586,-0.0674,7.12286666,3.93182563,6.34143926
2006,Andenes,Y,44,2/14/06,58,,,,,102,11040,1061,1085,441.5,F,1,,,10,1,9,5,4,1,v,556.212524,93.2853186,13.1925363,2.37185171,743.311195,168.074004,200,672.414611,17.6098535,,,,,,,,,,,,,8.78569469,1.04,2.1731248,0.0395,9.30928032,4.62497281,6.32115046
2006,Andenes,Y,44,2/14/06,59,,,,,68,3120,143.5,93,102,F,1,,,7,0,7,2,4,1,v,482.773008,65.9253932,9.32325851,1.93118885,672.865275,271.963947,200,587.583017,27.2309624,,,,,,,,,,,,,1.74163297,0.992,0.554823163,-0.0078,8.04558828,4.21950771,6.17954658
2006,Andenes,Y,44,2/14/06,60,,,,,57,1840,68,58.5,91.5,F,1,,,4,0,4,1,4,1,v,417.215844,64.1475572,9.07183453,2.1743744,507.542694,177.56167,200,498.524668,5.00572646,,,,,,,,,,,,,1.22389894,0.994,0.202041612,-0.0065,7.51752085,4.04305127,6.0336037
2006,Andenes,Y,44,2/14/06,61,,,,,88,6060,550.5,297.5,200.5,F,1,,,8,1,7,5,4,1,v,600.071395,89.9828326,12.7254942,2.12066337,726.565465,154.222011,200,706.778937,7.25710818,,,,,,,,,,,,,3.71381453,0.889,1.31205952,-0.1174,8.70946508,4.47733681,6.39704864
2006,Andenes,Y,44,2/14/06,62,,,,,80,3640,267,173,142.5,F,1,,,9,1,8,5,4,1,v,707.695209,47.0199625,6.64962686,0.939617335,814.563567,583.444023,200,777.934061,16.0713074,,,,,,,,,,,,,1.15381759,0.711,0.143076089,-0.3412,8.19973896,4.38202663,6.56201351
2006,Andenes,Y,44,2/14/06,63,,,,,83,4620,365.5,360,144,F,1,,,8,1,7,5,4,1,v,681.510436,67.9590728,9.61086424,1.41022994,782.922201,167.931689,200,751.731499,13.2718805,,,,,,,,,,,,,1.7487285,0.808,0.558888951,-0.2132,8.43814998,4.41884061,6.52431156
2006,Andenes,Y,44,2/14/06,64,,,,,86,5000,583,219.5,228.5,F,1,,,9,2,7,5,4,1,v,699.25925,83.5101505,11.8101187,1.68894709,819.449715,156.688805,200,790.849146,11.6449051,,,,,,,,,,,,,2.60229271,0.786,0.956392868,-0.2407,8.51719319,4.4543473,6.55002156
2006,Andenes,Y,44,2/14/06,65,,,,,113,12420,1567.5,540.5,554,M,2,,GARNBÅT,9,0,9,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,0.861,,-0.1499,9.42706336,4.72738782,
2006,Andenes,Y,44,2/14/06,66,,,,,107,12320,795.5,1993,468,F,1,,GARNBÅT,11,5,6,5,4,1,v,433.380693,66.0793358,9.34502929,2.15630956,617.741935,283.159393,200,540.979602,23.7511333,,,,,,,,,,,,,12.9212092,1.006,2.55887008,0.0057,9.41897924,4.67282883,6.07161654
2006,Andenes,Y,44,2/14/06,67,,,,,85,6020,283.5,489,196,F,1,,GARNBÅT,8,1,7,4,4,1,v,459.504507,71.9572076,10.1762859,2.21462156,586.290323,258.159393,200,559.425996,10.0828623,,,,,,,,,,,,,3.93170979,0.98,1.36907439,-0.0199,8.70284254,4.44265126,6.13014875
2006,Andenes,Y,44,2/14/06,68,,,,,99,8860,1257,409.5,316,M,2,,GARNBÅT,9,0,9,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.913,,-0.0909,9.08930204,4.59511985,
2006,Andenes,Y,44,2/14/06,69,,,,,71,3220,208,277,105.5,F,1,,GARNBÅT,6,0,6,5,4,1,v,650.613378,93.7222892,13.2543332,2.03720577,806.593928,180.40797,200,757.077799,21.0435841,,,,,,,,,,,,,1.12798169,0.9,0.120429919,-0.1057,8.07713664,4.26267988,6.47791558
2006,Andenes,Y,44,2/14/06,70,,,,,120,18720,2069,1113,843.5,F,1,,GARNBÅT,10,1,9,5,4,1,v,588.990275,96.0766774,13.587294,2.30687918,818.785579,170.398482,200,736.062619,24.5912755,,,,,,,,,,,,,14.678421,1.083,2.68637846,0.08,9.83734775,4.78749174,6.37840967
2006,Andenes,Y,44,2/14/06,71,,,,,91,6540,1046,291.5,225.5,M,2,,GARNBÅT,8,1,7,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.868,,-0.1417,8.78569244,4.51085951,
2006,Andenes,Y,44,2/14/06,72,,,,,98,8560,495,785.5,299.5,F,1,,GARNBÅT,11,3,8,5,4,1,v,495.325901,67.4277131,9.53571864,1.92514032,602.419355,257.732448,200,581.37334,10.6990916,,,,,,,,,,,,,5.60544609,0.909,1.72373864,-0.0949,9.05485547,4.58496748,6.20521593
2006,Andenes,Y,44,2/14/06,73,,,,,79,3800,336.5,278.5,156,F,1,,"GARNBÅT, ""konge"" torsk",8,0,8,5,4,5,v,636.37334,61.8592121,8.74821367,1.37469833,741.176471,182.732448,200,713.927894,10.756196,,,,,,,,,,,,,1.93719578,0.771,0.661241454,-0.2604,8.24275635,4.36944785,6.4557854
2006,Andenes,Y,44,2/14/06,74,,,,,90,6120,348.5,445.5,217.5,F,1,,GARNBÅT,8,0,8,5,4,1,v,544.650142,69.7713546,9.8671596,1.81165097,675.28463,359.914611,200,653.251898,9.34571826,,,,,,,,,,,,,3.05418957,0.84,1.11651428,-0.1749,8.71931738,4.49980967,6.30014365
2006,Andenes,Y,44,2/14/06,75,,,,,104,10620,1369.5,357.5,331.5,M,2,,GARNBÅT,8,0,8,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.944,,-0.0575,9.27049429,4.6443909,
2006,Andenes,Y,44,2/14/06,76,,,,,90,6800,426,838.5,234,F,1,,GARNBÅT,8,1,7,5,4,1,v,512.397059,102.230974,14.457643,2.82157025,702.324478,151.802657,200,656.330645,18.1867595,,,,,,,,,,,,,4.40232891,0.933,1.4821337,-0.0696,8.82467789,4.49980967,6.23909983
2006,Andenes,Y,44,2/14/06,77,,,,,105,11400,1531.5,712.5,472.5,M,2,,GARNBÅT,9,1,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.985,,-0.0153,9.34136863,4.65396035,
2006,Andenes,Y,44,2/14/06,78,,,,,88,5900,674,503.5,204,M,2,,GARNBÅT,8,0,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.866,,-0.1441,8.68270763,4.47733681,
2006,Andenes,Y,44,2/14/06,79,,,,,79,4500,206,580.5,141.5,F,1,,GARNBÅT,8,0,8,5,4,1,v,483.294829,81.4847179,11.5236793,2.38439946,631.593928,193.263757,200,610.488615,14.0435583,,,,,,,,,,,,,2.49290199,0.913,0.913447489,-0.0913,8.41183268,4.36944785,6.18062688
2006,Andenes,Y,44,2/14/06,80,,,,,87,5540,444,234.5,202.5,F,1,,GARNBÅT,7,0,7,4,4,1,v,613.75166,77.7815697,10.9999751,1.79225178,721.631879,158.823529,200,700.170778,9.31685347,,,,,,,,,,,,,2.81847067,0.841,1.03619442,-0.1728,8.61974978,4.46590812,6.41959038
2006,Andenes,Y,44,2/14/06,81,,,,,84,5100,1055.5,448.5,147,M,2,,GARNBÅT,10,2,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.86,,-0.1503,8.53699582,4.4308168,
2006,Andenes,Y,44,2/14/06,82,,,,,83,5360,616,366.5,148.5,M,2,,GARNBÅT,8,0,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.937,,-0.0646,8.58671925,4.41884061,
2006,Andenes,Y,66,3/8/06,1,,,,,79,5040,22,136,669.5,F,1,,Skip. Sp. Lodde i mage,7,1,6,1,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,1.022,,0.022,8.52516136,4.36944785,
2006,Andenes,Y,66,3/8/06,2,,,,,56,1940,213.5,128,129.5,M,2,,Lodde i mage,6,0,6,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.105,,0.0996,7.57044325,4.02535169,
2006,Andenes,Y,66,3/8/06,3,,,,,77,4340,412,108,181.5,M,2,,,8,0,8,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,0.951,,-0.0506,8.37562963,4.34380542,
2006,Andenes,Y,66,3/8/06,4,,,,,81,5480,677.5,253.5,1012.5,M,2,,Masse lodde i mage,9,1,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.031,,0.0307,8.60886038,4.39444915,
2006,Andenes,Y,66,3/8/06,5,,,,,79,4340,589,177.5,145.5,M,2,,tom mage,9,2,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.88,,-0.1275,8.37562963,4.36944785,
2006,Andenes,Y,66,3/8/06,6,,,,,56,2040,123,46,216,M,2,,reker i mage,5,0,5,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.162,,0.1498,7.62070509,4.02535169,
2006,Andenes,Y,66,3/8/06,7,,,,,74,3980,612,335,148.5,M,2,,,9,1,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.982,,-0.018,8.2890371,4.30406509,
2006,Andenes,Y,66,3/8/06,8,,,,,103,11980,1220,846.5,502.5,F,1,,tom mage,9,0,9,5,4,1,v,703.058112,103.484908,14.6349761,2.08161685,887.523719,204.601518,200,815.633302,20.354413,,,,,,,,,,,,,5.36653927,1.096,1.68018324,0.092,9.39099387,4.63472899,6.55543955
2006,Andenes,Y,66,3/8/06,9,,,,,90,9280,730,300.5,2345,M,2,,Lodde i mage,9,1,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.273,,0.2414,9.13561683,4.49980967,
2006,Andenes,Y,66,3/8/06,10,,,,,90,6840,515,357.5,1234.5,M,2,,Lodde i mage,8,0,8,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.938,,-0.0637,8.83054301,4.49980967,
2006,Andenes,Y,66,3/8/06,11,,,,,84,5900,775,423,426.5,M,2,,Lodde i mage,9,2,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.995,,-0.0046,8.68270763,4.4308168,
2006,Andenes,Y,66,3/8/06,12,,,,,65,2740,235,74.5,199.5,M,2,,Lodde i mage,6,1,5,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.998,,-0.0023,7.9157132,4.17438727,
2006,Andenes,Y,66,3/8/06,13,,,,,75,4360,541,343.5,297,M,2,,Lodde i mage,7,0,7,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,1.033,,0.0329,8.38022734,4.31748811,
2006,Andenes,Y,66,3/8/06,14,,,,,68,2360,236,155,79,M,2,,tom mage,7,1,6,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,0.751,,-0.2869,7.7664169,4.21950771,
2006,Andenes,Y,66,3/8/06,15,,,,,56,1780,5.5,25.5,333.5,F,1,,umoden?/lodde i mage,4,0,4,1,4,1,pv,,,,,,,0,,,,,,,,,,,,,,,,1.014,,0.0135,7.48436864,4.02535169,
