yearData,DataAgeMaturation,DataLenMaturation
1932,10.27916667,85.25416667
1933,10.4291498,88.62753036
1934,9.156040268,84.78020134
1935,8.702857143,85.29142857
1936,8.576882291,84.45281018
1937,8.654702082,82.7724336
1938,8.895833333,84.28787879
1939,9.371734762,87.09912927
1940,9.675276753,88.64206642
1941,9.700906344,85.78851964
1942,9.46975089,84.03202847
1943,9.485099338,81.88907285
1944,9.810490694,82.60913706
1945,9.52955665,80.37684729
1946,9.488964346,81.68081494
1947,9.994350282,86.76836158
1948,10.34023669,89.23964497
1949,9.70738255,89.19194631
1950,8.883913765,85.25124378
1951,8.923474664,86.38572906
1952,9.361650485,89.23968447
1953,9.237351655,87.8444722
1954,8.797627355,85.89602233
1955,8.509,85.373
1956,8.345885635,84.34077173
1957,8.736068896,87.09827761
1958,8.905918058,88.58915023
1959,9.123255814,88.76378738
1960,9.648244099,92.00402994
1961,9.19681835,91.50129486
1962,8.275285171,86.20532319
1963,8.230225989,86.61958569
1964,8.489559165,87.13109049
1965,8.299717913,86.11777151
1966,8.072878229,83.46863469
1967,8.108977686,84.28697457
1968,8.126806833,83.48357424
1969,8.055419723,85.07212714
1970,7.341626794,79.38684211
1971,7.645903859,81.41864139
1972,8.076675849,85.11707989
1973,8.642897566,89.10469723
1974,7.969512195,84.6402439
1975,7.291414752,78.96614268
1976,6.897540984,75.89617486
1977,7.148809524,77.13945578
1978,7.865023474,83.32394366
1979,8.390707497,88.33474129
1980,7.742612011,81.38417541
1981,7.051475882,75.2325414
1982,6.964179104,73.44104478
1983,7.414150518,77.89680036
1984,6.621621622,74.45945946
1985,6.980966325,79.56442167
1986,6.726838586,78.81661891
1987,5.983024691,70.28395062
1988,6.109756098,69.41463415
1989,6.32192339,63.47514262
1990,7.082340756,70.62765407
1991,7.637209302,78.44186047
1992,7.769345238,83.13541667
1993,7.208823529,80.75588235
1994,5.848942598,72.09818731
1995,6.377497371,73.68769716
1996,6.660674157,76.66516854
1997,7.176119403,77.30746269
1998,7.408474576,77.18813559
1999,7.638349515,75.36407767
2000,6.84939759,71.72690763
2001,6.429144385,69.73663102
2002,6.822202166,72.76624549
2003,6.890939597,73.9295302
2004,7.096322242,74.48336252
2005,7.375,76.42992424
2006,6.953416149,70.63354037
